Time(min)	Fluorescence
0.000000	30.000000
0.360360	30.001225
0.720721	30.006322
1.081081	30.015586
1.441441	30.028973
1.801802	30.046466
2.162162	30.068007
2.522523	30.093591
2.882883	30.123163
3.243243	30.155464
3.603604	30.190973
3.963964	30.230269
4.324324	30.273351
4.684685	30.320219
5.045045	30.370874
5.405405	30.425315
5.765766	30.483543
6.126126	30.545557
6.486486	30.611358
6.846847	30.680945
7.207207	30.754318
7.567568	30.831478
7.927928	30.912424
8.288288	30.997157
8.648649	31.085676
9.009009	31.177106
9.369369	31.269354
9.729730	31.364960
10.090090	31.463924
10.450450	31.566245
10.810811	31.671923
11.171171	31.780959
11.531532	31.893352
11.891892	32.009103
12.252252	32.128211
12.612613	32.250677
12.972973	32.376500
13.333333	32.505681
13.693694	32.638219
14.054054	32.774114
14.414414	32.913368
14.774775	33.055978
15.135135	33.216673
15.495495	33.358317
15.855856	33.503268
16.216216	33.651495
16.576577	33.802973
16.936937	33.957671
17.297297	34.115561
17.657658	34.276616
18.018018	34.440807
18.378378	34.608105
18.738739	34.778483
19.099099	34.951911
19.459459	35.128362
19.819820	35.307806
20.180180	35.490217
20.540541	35.675564
20.900901	35.862681
21.261261	36.050704
21.621622	36.241368
21.981982	36.434641
22.342342	36.630488
22.702703	36.828877
23.063063	37.029775
23.423423	37.233148
23.783784	37.438963
24.144144	37.647188
24.504505	37.857790
24.864865	38.070734
25.225225	38.285988
25.585586	38.503519
25.945946	38.723294
26.306306	38.945279
26.666667	39.169442
27.027027	39.395749
27.387387	39.624168
27.747748	39.854664
28.108108	40.087206
28.468468	40.321760
28.828829	40.558292
29.189189	40.796770
29.549550	41.037161
29.909910	41.279431
30.270270	41.523547
30.630631	41.769477
30.990991	42.017186
31.351351	42.266643
31.711712	42.517813
32.072072	42.770665
32.432432	43.025163
32.792793	43.281277
33.153153	43.538971
33.513514	43.798214
33.873874	44.058973
34.234234	44.321213
34.594595	44.584902
34.954955	44.850007
35.315315	45.116494
35.675676	45.384331
36.036036	45.653485
36.396396	45.925579
36.756757	46.201662
37.117117	46.479259
37.477477	46.758345
37.837838	47.038892
38.198198	47.320876
